Date,Open,High,Low,Close,Volume,Ticker
2020-03-27,151.75,154.89,149.2,149.7,57042291,MSFT
2020-03-26,148.4,156.66,148.37,156.11,64694427,MSFT
2020-03-25,148.91,154.33,144.44,146.92,75638224,MSFT
2020-03-24,143.75,149.6,141.27,148.34,82516727,MSFT
2020-03-23,137.01,140.57,132.52,135.98,78975176,MSFT
2020-03-20,146.0,147.1,135.86,137.35,84866215,MSFT
2020-03-19,142.77,150.15,139.0,142.71,85922661,MSFT
2020-03-18,138.0,146.0,135.02,140.4,81593173,MSFT
2020-03-17,140.0,147.4998,135.0,146.57,81059817,MSFT
2020-03-16,140.0,149.35,135.0,135.42,87905868,MSFT
2020-03-13,147.5,161.91,140.73,158.83,92727446,MSFT
2020-03-12,145.3,153.47,138.58,139.06,93226366,MSFT
2020-03-11,157.13,157.7,151.15,153.63,56504304,MSFT
2020-03-10,158.16,161.03,152.58,160.92,65354385,MSFT
2020-03-09,151.0,157.75,150.0,150.62,70419274,MSFT
2020-03-06,162.61,163.11,156.0,161.57,72821057,MSFT
2020-03-05,166.045,170.87,165.69,166.27,47817251,MSFT
2020-03-04,168.485,170.7,165.62,170.55,49814383,MSFT
2020-03-03,173.8,175.0,162.26,164.51,71677019,MSFT
2020-03-02,165.31,172.92,162.31,172.79,71030810,MSFT
2020-02-28,152.41,163.71,152.0,162.01,97073557,MSFT
2020-02-27,163.32,167.03,157.98,158.18,93174906,MSFT
2020-02-26,169.71,173.26,168.21,170.17,56387148,MSFT
2020-02-25,174.2,174.84,167.646,168.07,68073295,MSFT
2020-02-24,167.77,174.55,163.23,170.89,68311066,MSFT
2020-02-21,183.17,183.5,177.25,178.59,48600385,MSFT
2020-02-20,186.95,187.25,181.1,184.42,36862376,MSFT
2020-02-19,188.06,188.18,186.47,187.28,29997471,MSFT
2020-02-18,185.1,187.19,184.99,186.72,27929190,MSFT
2020-02-14,182.75,184.9,182.15,184.85,23212746,MSFT
2020-02-13,182.58,185.72,182.37,183.21,35392240,MSFT
2020-02-12,185.07,185.34,181.35,184.21,47191467,MSFT
2020-02-11,190.13,190.18,183.0,183.94,53305105,MSFT
2020-02-10,183.08,188.33,182.75,188.19,35942171,MSFT
2020-02-07,182.35,185.12,181.98,183.39,33620654,MSFT
2020-02-06,180.48,183.32,179.57,183.13,27827180,MSFT
2020-02-05,183.53,183.7,177.92,179.41,39293356,MSFT
2020-02-04,176.66,180.15,175.83,179.63,36532852,MSFT
2020-02-03,169.97,174.02,169.94,173.91,30231400,MSFT
2020-01-31,171.74,171.93,169.12,169.77,36241409,MSFT
2020-01-30,173.58,173.58,170.32,172.31,51738401,MSFT
2020-01-29,167.38,168.29,165.24,167.58,35223718,MSFT
2020-01-28,163.33,165.3,162.63,165.01,24967951,MSFT
2020-01-27,160.71,162.93,159.76,161.84,32165684,MSFT
2020-01-24,167.05,167.07,164.0,164.59,24986177,MSFT
2020-01-23,165.74,166.35,164.82,166.27,19734521,MSFT
2020-01-22,166.94,167.03,165.23,165.25,24204709,MSFT
2020-01-21,166.23,167.73,165.98,166.05,29597813,MSFT
2020-01-17,166.96,167.01,164.98,166.64,34465540,MSFT
2020-01-16,163.9,165.79,163.58,165.72,23930545,MSFT
2020-01-15,162.18,163.49,162.13,162.74,21476371,MSFT
2020-01-14,162.94,163.15,161.28,161.69,23564972,MSFT
2020-01-13,161.32,162.87,160.82,162.84,21696106,MSFT
2020-01-10,162.38,162.78,160.74,160.9,20790578,MSFT
2020-01-09,161.39,161.77,160.59,161.65,21458402,MSFT
2020-01-08,158.5,160.36,157.52,159.65,27837854,MSFT
2020-01-07,158.89,159.24,156.89,157.15,21941507,MSFT
2020-01-06,156.65,158.67,156.08,158.6,20883587,MSFT
2020-01-03,157.89,159.51,157.63,158.19,21179372,MSFT
2020-01-02,158.35,160.29,157.9,160.18,22696369,MSFT
2019-12-31,156.34,157.34,156.02,157.27,18443622,MSFT
2019-12-30,158.55,158.59,156.3,157.16,16401396,MSFT
2019-12-27,159.02,159.12,157.79,158.53,18464648,MSFT
2019-12-26,157.13,158.3,156.97,158.24,14566605,MSFT
2019-12-24,157.05,157.28,156.69,156.95,9013703,MSFT
2019-12-23,157.69,157.69,156.84,156.98,17774700,MSFT
2019-12-20,156.92,158.06,155.86,156.98,53746013,MSFT
2019-12-19,153.58,155.35,153.33,155.29,25884332,MSFT
2019-12-18,153.88,155.06,153.76,153.95,24198293,MSFT
2019-12-17,155.03,155.29,154.03,154.27,25513022,MSFT
2019-12-16,154.69,155.48,154.4,155.11,24218740,MSFT
2019-12-13,152.59,154.47,152.41,154.11,23915205,MSFT
2019-12-12,151.24,153.02,150.61,152.82,24712681,MSFT
2019-12-11,151.13,151.46,149.92,151.29,18911514,MSFT
2019-12-10,150.75,151.48,150.35,150.72,16526076,MSFT
2019-12-09,150.66,151.8,150.5,150.95,16787077,MSFT
2019-12-06,150.58,151.46,149.86,151.34,16455223,MSFT
2019-12-05,149.64,149.91,149.07,149.52,17929439,MSFT
2019-12-04,149.73,149.77,148.79,149.44,17628636,MSFT
2019-12-03,147.09,149.02,146.25,148.9,25260954,MSFT
2019-12-02,151.4,151.42,147.92,149.14,27548656,MSFT
2019-11-29,151.69,151.89,150.87,150.97,12010014,MSFT
2019-11-27,151.92,152.08,151.11,151.91,15217250,MSFT
2019-11-26,150.95,152.0,150.91,151.62,24702387,MSFT
2019-11-25,149.59,150.94,149.51,150.82,22489846,MSFT
2019-11-22,149.66,149.89,148.41,149.18,15884949,MSFT
2019-11-21,148.99,149.39,148.1,149.07,18626821,MSFT
2019-11-20,149.9,150.43,148.06,149.21,25790311,MSFT
2019-11-19,149.96,150.41,149.28,149.47,24107361,MSFT
2019-11-18,149.15,149.63,148.07,149.42,21687181,MSFT
2019-11-15,148.02,149.07,147.37,149.05,23653231,MSFT
2019-11-14,146.12,147.51,146.1,147.16,19876463,MSFT
2019-11-13,145.84,146.56,145.38,146.41,17551397,MSFT
2019-11-12,145.38,146.67,145.16,146.17,18763278,MSFT
2019-11-11,144.46,145.52,143.85,145.21,14458460,MSFT
2019-11-08,143.1,145.09,142.88,145.07,16855859,MSFT
2019-11-07,142.96,144.0,142.89,143.38,17895985,MSFT
2019-11-06,143.49,143.64,142.32,143.18,16677630,MSFT
2019-11-05,144.09,144.14,143.03,143.58,18362289,MSFT
2019-11-04,143.95,144.12,143.28,143.67,17015896,MSFT
2019-11-01,143.38,143.54,142.09,142.84,33331886,MSFT
2019-10-31,144.02,144.05,142.12,142.49,24756293,MSFT
2019-10-30,142.64,144.12,141.92,143.73,18610223,MSFT
2019-10-29,143.2,143.62,141.78,141.96,20715958,MSFT
2019-10-28,143.52,144.78,142.63,143.31,35496877,MSFT
2019-10-25,138.49,140.28,138.35,139.87,26119205,MSFT
2019-10-24,138.54,139.56,137.82,139.09,37507414,MSFT
2019-10-23,136.05,136.61,134.78,136.4,31573090,MSFT
2019-10-22,138.12,139.16,135.43,135.54,28106887,MSFT
2019-10-21,137.6,137.65,136.18,137.58,20843306,MSFT
2019-10-18,138.91,139.15,135.73,136.57,32482764,MSFT
2019-10-17,140.09,140.56,138.17,138.84,22238583,MSFT
2019-10-16,139.93,140.13,138.68,139.55,20969725,MSFT
2019-10-15,139.21,140.93,138.96,140.71,20040125,MSFT
2019-10-14,138.84,139.43,138.67,138.7,13675138,MSFT
2019-10-11,139.26,140.17,138.65,138.83,25708035,MSFT
2019-10-10,137.64,138.82,137.4,138.25,18509623,MSFT
2019-10-09,136.62,137.85,136.14,137.39,20302446,MSFT
2019-10-08,136.25,136.92,134.79,134.84,26947876,MSFT
2019-10-07,136.3,137.33,136.19,136.29,16703272,MSFT
2019-10-04,135.92,137.4,135.59,137.28,23986003,MSFT
2019-10-03,134.12,135.92,132.41,135.45,26541859,MSFT
2019-10-02,135.42,135.54,132.77,133.82,32198362,MSFT
2019-10-01,138.81,139.39,136.17,136.24,22720658,MSFT
2019-09-30,137.21,138.36,136.94,138.18,18543614,MSFT
2019-09-27,139.29,139.5,135.81,136.89,22637178,MSFT
2019-09-26,138.59,139.32,137.59,138.69,17922947,MSFT
2019-09-25,136.66,139.1,135.2,138.51,22682551,MSFT
2019-09-24,139.5,139.83,136.05,136.54,30201073,MSFT
2019-09-23,138.38,138.78,137.59,138.29,17515320,MSFT
2019-09-20,140.15,140.79,137.4,138.59,40286752,MSFT
2019-09-19,139.44,141.5,139.22,140.21,36317161,MSFT
2019-09-18,136.52,137.82,135.7,137.67,24623735,MSFT
2019-09-17,136.13,136.68,135.59,136.55,18086720,MSFT
2019-09-16,135.0,135.87,134.83,135.5,16834227,MSFT
2019-09-13,136.94,137.22,135.74,136.48,23506585,MSFT
2019-09-12,137.01,137.57,136.04,136.68,27175913,MSFT
2019-09-11,135.08,135.44,134.26,135.29,24878019,MSFT
2019-09-10,135.97,136.05,133.68,135.25,29080942,MSFT
2019-09-09,138.74,138.9,135.63,136.68,25932271,MSFT
2019-09-06,139.18,139.32,137.35,138.25,20952437,MSFT
2019-09-05,138.26,139.53,137.91,139.2,26279982,MSFT
2019-09-04,136.46,136.85,135.65,136.79,18125985,MSFT
2019-09-03,135.78,136.36,134.87,135.21,18996765,MSFT
2019-08-30,138.3,138.33,135.44,137.02,24093233,MSFT
2019-08-29,136.41,137.59,136.08,137.28,20303688,MSFT
2019-08-28,134.05,134.93,132.74,134.73,17517789,MSFT
2019-08-27,135.56,135.89,133.83,134.91,23257643,MSFT
2019-08-26,134.16,134.73,133.09,134.62,20450137,MSFT
2019-08-23,136.35,137.5,131.99,132.58,38752000,MSFT
2019-08-22,137.81,138.35,135.46,136.94,18824603,MSFT
2019-08-21,137.7,138.64,137.16,137.94,15074356,MSFT
2019-08-20,137.36,137.86,136.4,136.42,21319170,MSFT
2019-08-19,137.02,137.7,136.05,137.56,24520260,MSFT
2019-08-16,134.05,135.63,133.89,135.3,25179896,MSFT
2019-08-15,133.57,133.75,131.44,132.87,28298201,MSFT
2019-08-14,135.53,136.09,132.86,133.17,32727078,MSFT
2019-08-13,134.77,137.49,133.72,137.29,25738653,MSFT
