Date,ShortVolume,ShortExemptVolume,TotalVolume,Ticker
4/1/2013,504619,0,834638,MSFT
4/2/2013,352521,2300,765369,MSFT
4/3/2013,448127,2200,777016,MSFT
4/4/2013,777782,0,1222607,MSFT
4/5/2013,557570,0,785351,MSFT
4/8/2013,452197,0,760717,MSFT
4/9/2013,1119693,400,1733471,MSFT
4/10/2013,800094,0,1806564,MSFT
4/11/2013,1527570,0,3630172,MSFT
4/12/2013,573445,0,1392024,MSFT
4/15/2013,869513,9300,1406171,MSFT
4/16/2013,494632,300,1311650,MSFT
4/17/2013,360583,700,882257,MSFT
4/18/2013,637082,7600,1422551,MSFT
